id,address,city,state,price,bedrooms,bathrooms,sqft,year_built,lat,lng,description,condition
1,8294 Chestnut Drive,Detroit,MI,332551,4,2.5,2761,2000,42.3009,-83.1135,Classic style home with modern amenities,Excellent
2,2274 Juniper Court,Atlanta,GA,675797,3,3,1805,2020,33.8252,-84.4097,Comfortable single-family residence,Good
3,5999 Rose Boulevard,Portland,OR,892340,3,3.5,1347,2019,45.5755,-122.7571,Comfortable single-family residence,Good
4,5231 Spruce Street,Sacramento,CA,650669,3,1.5,2131,1991,38.5139,-121.5334,Energy-efficient home with low utility costs,Good
5,9138 Hemlock Court,Las Vegas,NV,703207,3,3.5,1967,1994,36.2174,-115.1157,Bright and airy home with lots of natural light,Good
6,926 Birch Street,Milwaukee,WI,359424,4,2,2790,2019,43.0307,-87.9609,Modern home with open floor plan,Fair
7,1925 Violet Road,Arlington,TX,477959,2,1.5,3104,1994,32.6665,-97.1479,Family-friendly neighborhood property,Good
8,9802 Main Circle,Kansas City,MO,472084,3,1.5,2895,2018,39.0374,-94.6087,Modern home with open floor plan,Good
9,9832 Cedar Circle,Kansas City,MO,504000.0,3,2.5,1720,2014,39.1464,-94.5144,Move-in ready home with recent upgrades,Excellent
10,2946 Chestnut Lane,Omaha,NE,352674,3,2,2620,2005,41.2936,-96.0015,Energy-efficient home with low utility costs,Good
11,4949 Birch Drive,Tampa,FL,616479,3,3,1822,2002,28.0091,-82.4821,Charming home with great curb appeal,Fair
12,3567 Hemlock Place,Tampa,FL,697652,4,1.5,1268,1993,27.8751,-82.5252,Updated kitchen and bathrooms,Fair
13,7500 Palm Street,Jacksonville,FL,624000.0,5,3.5,3021,1998,30.3734,-81.7194,Peaceful setting with mature trees,Fair
14,2749 Walnut Drive,Memphis,TN,300334,2,2,1605,2013,35.1216,-89.9866,Classic style home with modern amenities,Good
15,4799 Violet Boulevard,San Jose,CA,1810635,5,3.5,2891,1994,37.373,-121.8493,Charming home with great curb appeal,Excellent
16,9899 Cedar Court,Milwaukee,WI,472924,4,2,1382,2006,43.0285,-87.92,Comfortable single-family residence,Good
17,2422 Ivy Lane,El Paso,TX,456000.0,5,2,1685,1993,31.7263,-106.5275,Comfortable single-family residence,Fair
18,2960 Alder Circle,Denver,CO,1080000.0,5,1.5,2937,2023,39.7578,-105.0219,Beautiful family home in a quiet neighborhood,Fair
19,5693 Fir Place,Dallas,TX,624391,3,2,1542,2012,32.7835,-96.7626,Energy-efficient home with low utility costs,Good
20,7308 Willow Court,Chicago,IL,889358,3,1.5,2974,2007,41.8227,-87.6137,Peaceful setting with mature trees,Good
21,1356 Hickory Road,Austin,TX,701196,3,3,2104,2012,30.237,-97.8183,Comfortable single-family residence,Good
22,3114 Rose Street,Detroit,MI,389366,3,2,3125,2022,42.3688,-83.1187,Comfortable single-family residence,Excellent
23,6989 Magnolia Drive,Oklahoma City,OK,300600,2,2,1264,1996,35.4053,-97.4712,Spacious property with large backyard,Fair
24,6719 Rose Circle,Omaha,NE,364190,5,3.5,2123,2010,41.2698,-95.8635,Ideal starter home or investment property,Good
25,5301 Holly Circle,Tucson,AZ,576000.0,2,2,2377,2002,32.2586,-111.0034,Move-in ready home with recent upgrades,Good
26,3896 Orchid Court,Omaha,NE,389368,3,3.5,2538,2002,41.3293,-95.8999,Well-maintained home close to schools,Good
27,6441 Dogwood Lane,Memphis,TN,341834,2,2,2022,2006,35.1749,-90.0679,Family-friendly neighborhood property,Good
28,9361 Sycamore Lane,Arlington,TX,474774,5,3.5,3046,2009,32.6981,-97.1509,Bright and airy home with lots of natural light,Good
29,7365 Willow Road,Arlington,TX,495849,4,3,1331,1989,32.6933,-97.0352,Peaceful setting with mature trees,Fair
30,907 Fir Place,San Francisco,CA,2227928,3,3,1991,2003,37.7679,-122.4938,Peaceful setting with mature trees,Good
31,2810 Maple Lane,Philadelphia,PA,734577,3,2,1751,2015,39.9542,-75.1182,Energy-efficient home with low utility costs,Good
32,9340 Cypress Lane,New Orleans,LA,660000.0,5,2,2446,1998,29.9778,-90.0063,Charming home with great curb appeal,Good
33,3407 Tulip Lane,Raleigh,NC,723723,4,1.5,2016,2004,35.7033,-78.6889,Convenient location near shopping and parks,Good
34,6522 Cypress Boulevard,Houston,TX,514781,3,3,2890,2005,29.6908,-95.3709,Energy-efficient home with low utility costs,Good
35,6380 Hemlock Boulevard,San Diego,CA,901792,3,2.5,1245,2008,32.7925,-117.14,Ideal starter home or investment property,Good
36,3657 Laurel Lane,Denver,CO,1080000.0,5,3.5,2788,1991,39.6812,-105.0691,Convenient location near shopping and parks,Fair
37,9527 Juniper Street,Phoenix,AZ,668707,2,2,2265,2019,33.4923,-112.1025,Bright and airy home with lots of natural light,Good
38,8016 Hemlock Road,San Jose,CA,1401468,4,3,1397,2014,37.3354,-121.9221,Charming home with great curb appeal,Excellent
39,3180 Olive Way,Fort Worth,TX,625486,4,2.5,1345,2023,32.8037,-97.3161,Classic style home with modern amenities,Excellent
40,3277 Sunflower Lane,Phoenix,AZ,503474,5,3.5,2345,2009,33.3738,-112.1117,Spacious property with large backyard,Fair
